-5.000000 -5.000000 -1.825085e-01
-5.000000 -4.900000 -1.766668e-01
-5.000000 -4.800000 -1.706623e-01
-5.000000 -4.700000 -1.645433e-01
-5.000000 -4.600000 -1.583690e-01
-5.000000 -4.500000 -1.522119e-01
-5.000000 -4.400000 -1.461584e-01
-5.000000 -4.300000 -1.403104e-01
-5.000000 -4.200000 -1.347861e-01
-5.000000 -4.100000 -1.297208e-01
-5.000000 -4.000000 -1.252669e-01
-5.000000 -3.900000 -1.215934e-01
-5.000000 -3.800000 -1.188845e-01
-5.000000 -3.700000 -1.173367e-01
-5.000000 -3.600000 -1.171558e-01
-5.000000 -3.500000 -1.185509e-01
-5.000000 -3.400000 -1.217286e-01
-5.000000 -3.300000 -1.268848e-01
-5.000000 -3.200000 -1.341960e-01
-5.000000 -3.100000 -1.438093e-01
-5.000000 -3.000000 -1.558326e-01
-5.000000 -2.900000 -1.703248e-01
-5.000000 -2.800000 -1.872879e-01
-5.000000 -2.700000 -2.066609e-01
-5.000000 -2.600000 -2.283168e-01
-5.000000 -2.500000 -2.520638e-01
-5.000000 -2.400000 -2.776511e-01
-5.000000 -2.300000 -3.047789e-01
-5.000000 -2.200000 -3.331144e-01
-5.000000 -2.100000 -3.623098e-01
-5.000000 -2.000000 -3.920253e-01
-5.000000 -1.900000 -4.219521e-01
-5.000000 -1.800000 -4.518353e-01
-5.000000 -1.700000 -4.814948e-01
-5.000000 -1.600000 -5.108405e-01
-5.000000 -1.500000 -5.398827e-01
-5.000000 -1.400000 -5.687340e-01
-5.000000 -1.300000 -5.976028e-01
-5.000000 -1.200000 -6.267793e-01
-5.000000 -1.100000 -6.566133e-01
-5.000000 -1.000000 -6.874863e-01
-5.000000 -0.900000 -7.197801e-01
-5.000000 -0.800000 -7.538439e-01
-5.000000 -0.700000 -7.899647e-01
-5.000000 -0.600000 -8.283410e-01
-5.000000 -0.500000 -8.690659e-01
-5.000000 -0.400000 -9.121183e-01
-5.000000 -0.300000 -9.573662e-01
-5.000000 -0.200000 -1.004580e+00
-5.000000 -0.100000 -1.053457e+00
-5.000000 0.000000 -1.103651e+00
-5.000000 0.100000 -1.154814e+00
-5.000000 0.200000 -1.206629e+00
-5.000000 0.300000 -1.258851e+00
-5.000000 0.400000 -1.311335e+00
-5.000000 0.500000 -1.364058e+00
-5.000000 0.600000 -1.417126e+00
-5.000000 0.700000 -1.470771e+00
-5.000000 0.800000 -1.525328e+00
-5.000000 0.900000 -1.581205e+00
-5.000000 1.000000 -1.638838e+00
-5.000000 1.100000 -1.698638e+00
-5.000000 1.200000 -1.760942e+00
-5.000000 1.300000 -1.825952e+00
-5.000000 1.400000 -1.893695e+00
-5.000000 1.500000 -1.963986e+00
-5.000000 1.600000 -2.036406e+00
-5.000000 1.700000 -2.110297e+00
-5.000000 1.800000 -2.184775e+00
-5.000000 1.900000 -2.258760e+00
-5.000000 2.000000 -2.331021e+00
-5.000000 2.100000 -2.400232e+00
-5.000000 2.200000 -2.465033e+00
-5.000000 2.300000 -2.524099e+00
-5.000000 2.400000 -2.576198e+00
-5.000000 2.500000 -2.620251e+00
-5.000000 2.600000 -2.655376e+00
-5.000000 2.700000 -2.680919e+00
-5.000000 2.800000 -2.696474e+00
-5.000000 2.900000 -2.701883e+00
-5.000000 3.000000 -2.697231e+00
-5.000000 3.100000 -2.682821e+00
-5.000000 3.200000 -2.659149e+00
-5.000000 3.300000 -2.626862e+00
-5.000000 3.400000 -2.586730e+00
-5.000000 3.500000 -2.539600e+00
-5.000000 3.600000 -2.486369e+00
-5.000000 3.700000 -2.427943e+00
-5.000000 3.800000 -2.365218e+00
-5.000000 3.900000 -2.299055e+00
-5.000000 4.000000 -2.230263e+00
-5.000000 4.100000 -2.159588e+00
-5.000000 4.200000 -2.087706e+00
-5.000000 4.300000 -2.015220e+00
-5.000000 4.400000 -1.942658e+00
-5.000000 4.500000 -1.870476e+00
-5.000000 4.600000 -1.799061e+00
-5.000000 4.700000 -1.728737e+00
-5.000000 4.800000 -1.659769e+00
-5.000000 4.900000 -1.592370e+00
-5.000000 5.000000 -1.526706e+00

-4.900000 -5.000000 -1.766668e-01
-4.900000 -4.900000 -1.698680e-01
-4.900000 -4.800000 -1.628255e-01
-4.900000 -4.700000 -1.555854e-01
-4.900000 -4.600000 -1.482068e-01
-4.900000 -4.500000 -1.407633e-01
-4.900000 -4.400000 -1.333449e-01
-4.900000 -4.300000 -1.260603e-01
-4.900000 -4.200000 -1.190375e-01
-4.900000 -4.100000 -1.124260e-01
-4.900000 -4.000000 -1.063970e-01
-4.900000 -3.900000 -1.011432e-01
-4.900000 -3.800000 -9.687798e-02
-4.900000 -3.700000 -9.383294e-02
-4.900000 -3.600000 -9.225373e-02
